Serial number;Course name;Author;Date;Version;Course_name;Cluster;Keywords_1.1 Domain;Keywords_1.2 Potential AI Use Cases;Keywords_1.3 Data in the Domain;Keywords_1.4 Implications of Using AI;Keywords_1.5 Additional Learning Resources;Keywords_2.1 Learners and Their Interaction with AI;Keywords_2.2 Instructors;Keywords_2.3 Internal Support;Keywords_3.1 Learning Outcomes;Keywords_3.2 Assessment;Keywords_3.3 Learning Activities;Yes;Yes
11;AI in Environmental Science ;ABC;09-03-2025;1.0.0;Environmental Science    ;"Natural Sciences; Applied Sciences & Vocational Fields";"interdisciplinary integration; environmental problem-solving; AI-enhanced analysis; predictive modeling; automated monitoring; conservation strategies; sustainability; climate change; biodiversity loss; pollution management; real-time analysis.";"climate data analysis; predictive climate scenarios; machine learning simulations; wildlife population monitoring; invasive species detection; environmental DNA analysis; pollution source identification; waste management optimization; water resource management; forest fire prediction; disaster prediction; emergency response optimization";"geospatial analysis; time-series prediction; sensor monitoring; biodiversity assessment; policy analysis; environmental AI; ecological trends; species distribution; data preprocessing; feature engineering.";"AI bias; environmental policy; data privacy; responsibility; compliance; liability; transparency; job displacement; access; awareness; interdisciplinary collaboration; environmental contexts; system limitations.";"climate change research; biodiversity conservation; AI for Earth; environmental data analysis; Python libraries; GIS software; cloud computing platforms";"environmental science; AI integration; data analysis; AI-driven insights; AI-based solutions.";"AI-driven sustainability; environmental research; machine learning; deep learning; data mining; AI programming; environmental data analysis; university-level teaching; technical communication.";"software licenses; teaching assistants; semester duration; environmental datasets; university labs; Python; GIS software; cloud computing; interdisciplinary support; industry experts.";"AI in environmental science; predictive models; data analysis; ethical implications; solution design; effective communication.";"AI concepts; environmental datasets; real-world applications; AI-based solution design; data collection; model development; group project presentation; midterm exam; final exam; class participation; research paper presentation.";"AI-driven environmental solutions; problem-based case studies; experiential learning; Python-based labs; collaborative projects; environmental data analysis; AI model development; integration of AI with environmental practices.";Yes;Yes
12;AI in Fashion ;ABC;10-03-2025;1.0.0;Fashion    ;Design & Creative Arts;"Apparel design; textile industry; trend forecasting; AI-driven personalization; retail optimization; waste reduction.";"AI-driven trend forecasting; generative design; virtual try-ons; personalized recommendations; supply chain optimization; automated quality control; AI chatbots.";"product images; customer behavior; text analysis; sales trends; 3D models; material properties; sensor data; AI-driven design; personalized recommendations; demand forecasting; supply chain; virtual try-on; sentiment analysis.";"AI bias; data privacy; transparency; GDPR/CCPA compliance; intellectual property; liability; job displacement; cultural impact; beauty standards; optimized production; personalized recommendations; AI-assisted design; adaptable AI; ethical sourcing; sustainability.";"FashionTech resources; industry analysis; online courses; AI applications; design software tutorials; academic research; open educational resources; industry events.";"fashion students; AI integration; retail managers; informed decisions.";"Fashion-AI integration; machine learning; computer vision; NLP; python proficiency; fashion industry expertise; pedagogical skills.";"software licenses; cloud computing; AI teaching assistants; fashion expertise; domain-specific datasets; cloud-based platforms; image processing; 3D modeling; interdisciplinary support; collaborative projects";"AI fundamentals; fashion applications; data analysis; AI tools; ethical evaluation; solution development; technical communication";"AI-driven fashion; case study analysis; ethical implications; AI tools coding; innovation proposal; prototype implementation; quizzes; final presentation; class participation; practical application; real-world projects; fair assessment.";"AI-driven fashion solutions; Personalized styling; Virtual try-on; Trend forecasting; AI model building; Fashion industry mentorship; AI integration in fashion; Active learning.";Yes;Yes
13;AI in Fina;ABC;11-03-2025;1.0.0;Finance ;Business & Economics;"Investment management; AI-driven automation; risk assessment; algorithmic trading; financial product innovation.";"Fraud detection; credit risk assessment; algorithmic trading; portfolio optimization; personalized financial advice; AI-powered customer service.";"financial transactions; market data; customer data; social media sentiment; alternative data; algorithmic trading; risk assessment; personalized finance; market prediction; AI model training";"AI bias in finance; algorithmic transparency; data privacy; regulatory compliance; liability for AI errors; job displacement; financial inclusion; inequality exacerbation; fraud detection; personalized services; market crashes; biased lending; financial vulnerability.";"Financial data sources; AI trading education; quantitative finance resources; industry publications; open courseware.";"Financial AI education; AI solution proposal; financial decision enhancement; AI specialist collaboration; AI tool evaluation.";"Quantitative finance; AI application; financial modeling; machine learning; risk management; financial datasets";"financial data licenses; AI TAs; semester-long; Python libraries; cloud computing; interdisciplinary guest lectures";"AI in finance; machine learning; deep learning; fraud detection; credit risk assessment; algorithmic trading; portfolio optimization; financial data analysis; ethical implications; AI model evaluation; practical problem-solving; technical communication; AI solutions.";"AI concepts; model evaluation; AI applications; financial problem; quizzes; comprehensive exams; class participation.";"fraud detection; algorithmic trading; ethical dilemmas; Python implementation; industry expert presentations; hands-on labs; group projects; AI impact discussion; lectures; labs; group work; guest lectures";Yes;Yes
14;AI in Food Science ;ABC;12-03-2025;1.0.0;Food Science    ;"Natural Sciences; Applied Sciences & Vocational Fields";"food composition; deterioration causes; food processing principles; AI-driven analysis; automation in food science; quality control enhancement; resource optimization; food product innovation.";"AI-powered detection; predictive shelf-life models; ML-driven recipe generation; cost-effective recipe optimization; AI-driven supply chain; blockchain traceability; AI crop monitoring; personalized dietary recommendations; AI foodborne illness detection.";"Food processing data; sensor measurements; image analysis; chemical composition; text mining; nutritional databases; supply chain logistics; genomic traits; AI-driven monitoring; quality control automation; consumer preference insights; predictive modeling.";"Algorithmic bias; data privacy; automation displacement; food safety compliance; AI liability; intellectual property; food accessibility; supply chain optimization; food waste; transparency; system reliability; food culture impact.";"OER food-science; FAO agriculture-safety; Coursera food-technology; edX nutrition-science; Udemy AI-food; IFT webinars-conferences; Food-AI workshops; USDA nutrient-database; Kaggle food-agriculture; Open-Food-Facts; Food-Science-Journal; Trends-Food-Technology; Food-Safety-Reviews";"food science students; AI applications; data-driven decisions; food industry professionals; food safety; AI implementation";"AI-food science integration; academic-industrial experience; machine learning proficiency; food safety expertise; pedagogical skills.";"budget allocation; interdisciplinary personnel; semester duration; food science datasets; AI software access; computing resources; sensor equipment; laboratory facilities; interdepartmental collaboration";"AI fundamentals; food science applications; data analysis; ethical implications; AI-based solutions; food production; quality improvement.";"AI-driven food solutions; predictive modeling; computer vision; ethical implications; data analysis; AI concepts; class participation.";"AI-driven food science education; problem-centered learning; hands-on labs; ethical AI integration; industry expert lectures; AI application in food production; machine learning models; personalized nutrition; AI-enabled quality control.";Yes;Yes
15;AI in Hospitality ;ABC;13-03-2025;1.0.0;Hospitality    ;"Business & Economics; Applied Sciences & Vocational Fields";"lodging; food and beverage; personalized services; guest satisfaction; AI-driven insights; resource management; operational efficiency";"NLP-driven sentiment; dynamic pricing optimization; personalized recommendations; AI chatbots; predictive maintenance; automated inventory; fraud detection.";"reservation data; customer feedback; transaction records; loyalty program data; occupancy rates; pricing data; inventory records; customer reviews; social media posts; emails; chat logs; voice recordings; security camera images; IoT sensor data; predictive models; customer segmentation; sentiment analysis; personalization; real-time monitoring; predictive maintenance; resource optimization; supervised learning; NLP; time series analysis.";"Algorithmic bias; data privacy; AI transparency; regulatory compliance; automation displacement; human oversight; personalized service; technology over-reliance; discriminatory outcomes; equitable access.";"AI education resources; machine learning courses; deep learning textbooks; business AI specialization; hospitality AI case studies; industry AI trends; service industry research; data science blogs.";"Hospitality management students; AI solution evaluation; informed AI adoption; AI champion; collaborative AI implementation.";"Hospitality AI; Customer Experience; Operations Optimization; Data Analysis; Interdisciplinary Teaching; Machine Learning; Industry Trends";"budgetary allocations; teaching assistant availability; semester duration; open datasets; industry data; cloud platform access; software licenses; virtual machines; interdisciplinary support; AI expertise; industry partnerships";"AI fundamentals; hospitality applications; data analysis; AI solution evaluation; ethical implications; collaborative projects; AI communication; AI tools.";"AI-driven hospitality solutions; data analysis tasks; group project prototype; active class participation; AI concept quizzes; real-world application emphasis; diverse learning assessment.";"AI-driven hospitality solutions; hands-on AI application; interactive AI workshops; real-world AI case studies; AI workforce integration; active learning strategies.";Yes;Yes
16;AI in Journalism ;ABC;14-03-2025;1.0.0;Journalism    ;Social Sciences & Humanities;"news dissemination; accountability promotion; AI-driven media transformation; responsible AI leverage; journalistic efficiency; misinformation mitigation";"AI journalism; news automation; personalized content; misinformation detection; automated fact-checking; sentiment analysis; data-driven storytelling; accessible content.";"Unstructured text; structured data; multimedia data; user behavior data; NLP; predictive modeling; trend analysis; pattern discovery; AI algorithms; image recognition; video analysis; audio transcription; content personalization; engagement improvement; journalistic ethics.";"algorithmic bias; job displacement; AI transparency; copyright; data privacy; media consolidation; journalistic integrity; misinformation; public trust.";"OER journalism; AI applications; data journalism; NLP; automated content; media industry reports.";"journalism students; working journalists; media professionals; limited AI knowledge; journalism principles; ethical implications; AI tool leverage; news gathering; content distribution; AI solution collaboration";"AI journalism; Digital media; Machine learning; NLP; Journalism ethics; University teaching.";"AI education; journalism; interdisciplinary collaboration; budget constraints; data accessibility; technical personnel; cloud resources; curriculum adaptation; evolving technologies.";"AI journalism; news automation; ethical assessment; data-driven reporting; misinformation detection; AI integration; collaborative journalism.";"AI-journalism projects; ethical AI essays; AI newsgathering reports; AI tool design; AI impact presentation; AI concept quizzes; AI research presentation; class participation; peer evaluation.";"AI-journalism integration; problem-centered case studies; hands-on AI application; ethical implications analysis; newsroom simulations; automated content; AI-driven efficiency; journalistic practice complementation; AI-NLP models; collaborative initiatives.";Yes;Yes
17;AI in Law ;ABC;15-03-2025;1.0.0;Law    ;Social Sciences & Humanities;"legal system; AI-driven automation; legal reasoning; information access.";"legal AI; document analysis; case prediction; contract automation; e-discovery; virtual assistants.";"legal data; unstructured text; structured data; semi-structured data; AI applications; NLP techniques; data privacy; confidentiality.";"Algorithmic bias; data privacy; legal automation; job displacement; access to justice; regulatory frameworks; ethical considerations; AI explainability; fairness; human judgment.";"LegalTech resources; AI in law; academic journals; online courses; industry events; legal informatics.";"legal AI adoption; AI-informed legal professionals; critical AI evaluation; AI integration leadership; law student AI education.";"LegalTech; AI adoption; legal AI tools; legal ethics; machine learning; natural language processing; legal process; active learning; pedagogical skills.";"Software licenses; guest speakers; teaching assistant; computer science; data science; legal databases; datasets; cloud-based AI platforms; LexisNexis; Westlaw; online learning management system.";"AI in legal domain; machine learning; natural language processing; AI applications; legal document analysis; case outcome prediction; contract automation; e-discovery; AI solutions evaluation; legal data analysis; AI-powered legal research; ethical considerations; AI adoption strategies; AI communication.";"AI in law; case study analysis; legal AI technology; ethical-legal issues; AI solution proposal; prototype development; quizzes; comprehensive exams; class participation";"legal AI applications; legal challenges; AI solutions; legaltech demonstrations; AI integration; legal document analysis; AI adoption; collaborative problem-solving; legal careers.";Yes;Yes
18;AI in Linguistics ;ABC;16-03-2025;1.0.0;Linguistics    ;Social Sciences & Humanities;"computational linguistics; natural language processing; language analysis; AI-driven language research; automated linguistic tasks";"Sentiment analysis; topic modeling; semantic parsing; speech synthesis; speech recognition; dialect identification; machine translation; language modeling; computational lexicography.";"text data; audio recordings; lexical data; annotated data; multimodal data; NLP models; speech recognition; supervised learning; unsupervised learning; deep learning";"AI bias; data privacy; misinformation; intellectual property; job displacement; accessibility; language preservation; propaganda.";"NLP resources; OpenCourseware; online specialization; statistical processing; computational linguistics; research blogs; LSA publications.";"linguistics; computational linguistics; AI-NLP application; linguistic data analysis; interdisciplinary collaboration; ethical implications.";"Linguistic AI; Computational Linguistics; NLP; Deep Learning; Python; Teaching; Pedagogical Skills.";"budget allocation; AI/linguistics expertise; computational resources; domain-specific data; cloud computing; NLP libraries; high-performance clusters; IT support; interdisciplinary collaboration; research funding; lab access";"AI-driven linguistic analysis; NLP tool application; ethical implications; interdisciplinary collaboration.";"AI-driven linguistic analysis; NLP task implementation; sentiment analysis model; dialect identification system; research project design; theoretical knowledge assessment; practical application evaluation";"AI-linguistics applications; NLP tools; linguistic data analysis; AI model development; research integration; hands-on learning; problem-solving; cross-cultural communication; speech recognition; language documentation.";Yes;Yes
19;AI in Logistics and Supply Chain Management  ;ABC;17-03-2025;1.0.0;Logistics and Supply Chain Management     ;"Business & Economics; Applied Sciences & Vocational Fields";"Flow optimization; AI-driven logistics; demand variability; resource allocation.";"AI-driven logistics; predictive analytics; automated warehousing; real-time visibility; freight optimization; risk assessment.";"Geospatial data; time-series logistics; sensor data; transactional data; weather data; traffic data; carrier performance; route optimization; demand forecasting; predictive maintenance; customer segmentation; reinforcement learning.";"algorithmic bias; data privacy; transparency; GDPR/CCPA compliance; liability; job displacement; workforce retraining; logistics optimization; cybersecurity; legacy system integration; global supply chains";"Supply chain management; artificial intelligence; online courses; textbooks; case studies.";"Supply chain professionals; logistics optimization; AI adoption; decision-making; stakeholder communication";"AI-driven logistics; optimization tools; data analysis; machine learning; supply chain management; technical communication; project-based learning.";"Semester duration; software tools; domain-specific datasets; cloud-based AI platforms; data visualization; simulation software; computing resources; interdisciplinary collaboration.";"AI in Logistics; Supply Chain Optimization; Predictive Analytics; Ethical AI Implementation.";"AI in logistics; case study analysis; AI solution proposal; logistics problem; data analysis; model implementation; research paper; AI algorithms; comprehensive exam";"AI-logistics implementation; simulation exercises; industry expert insights; collaborative problem-solving; AI tool demonstrations; hands-on labs; ethical AI adoption; integration challenges; supply chain optimization.";Yes;Yes
20;AI in Manufacturing  ;ABC;18-03-2025;1.0.0;Manufacturing     ;"Engineering & Technology; Applied Sciences & Vocational Fields";"AI-optimized manufacturing; predictive maintenance; quality control enhancement; production workflow optimization; smart factory transition.";"predictive maintenance; quality inspection; process optimization; supply chain resilience; intelligent automation; energy consumption.";"Sensor time-series; predictive maintenance; structured MES data; process optimization; image defect detection; NLP maintenance logs; supply chain efficiency; CAD/CAM specifications; real-time monitoring; supervised quality inspection; reinforcement learning.";"AI bias; data privacy; algorithmic transparency; regulatory compliance; AI liability; job displacement; workforce retraining; AI surveillance; system integration; implementation costs.";"Industry 4.0 implementation; AI manufacturing applications; AI manufacturing online courses; manufacturing AI textbooks; AI manufacturing research; open-source AI tools; industry reports on AI.";"manufacturing optimization; AI implementation; decision-making; project management; AI advocacy";"Manufacturing AI; Industrial PhD; Machine Learning; Data Analytics; Interdisciplinary Teaching";"Software licenses; hardware labs; AI-manufacturing TAs; semester duration; manufacturing datasets; cloud-based AI platforms; Python libraries; image processing; simulation software; GPU clusters; interdisciplinary collaboration.";"AI fundamentals; manufacturing applications; predictive maintenance; quality inspection; process optimization; data analysis; machine learning algorithms; ethical implications; solution design.";"AI-Manufacturing Case-Studies; Predictive Maintenance; Computer-Vision Quality-Inspection; AI-Solution Design; Ethical-Implications; AI-Algorithm Problem-Solving; Core-Concept Assessment; Group-Project Presentation";"Problem-centered learning; real-world challenges; hands-on projects; industry experts; AI applications; data preprocessing; feature engineering; machine learning algorithms; model evaluation; performance tuning; predictive maintenance; quality control; traditional manufacturing; ethical impacts; job displacement; data privacy.";Yes;Yes
21;AI in Oceanography  ;ABC;19-03-2025;1.0.0;Oceanography     ;Natural Sciences;"ocean processes; marine ecosystems; AI-driven analysis; climate change impacts; biodiversity loss; pollution monitoring; sustainable resource management; ocean modeling; data-pattern identification";"Marine species identification; ocean current modeling; pollution tracking; oceanographic data analysis; AUV navigation; marine ecosystem assessment.";"Geospatial data; sensor data; image data; acoustic data; biological data; oceanographic model output; ocean dynamics; automated visual analysis; marine life behavior; ecosystem health; biodiversity study; AI techniques; time series analysis.";"AI bias; conservation impact; marine data privacy; responsible AI; international law compliance; AI in protected areas; intellectual property; fisheries management livelihoods; ocean conservation engagement; equitable access; marine pollution detection; job losses; AI model robustness; data scarcity; human oversight";"OER datasets; oceanography textbooks; AI/ML courses; peer-reviewed articles; ocean science conferences.";"oceanography researchers; marine ecosystems; AI application; data analysis; interdisciplinary collaboration; ethical AI advocacy.";"Oceanography PhD; AI application; machine learning expertise; data management; marine ecosystems; field research; university-level teaching; active learning.";"oceanographic datasets; AI model training; interdisciplinary teaching support; software licenses; computational resources; teaching assistants";"AI in oceanography; oceanographic data; AI techniques; marine species identification; ocean current modeling; pollution tracking; AI models; oceanographic datasets; ethical implications; scientific communication; AI-driven tools; oceanographic research.";"AI-oceanography application; weekly quizzes; problem sets; AI techniques; case study analysis; group project; real-world data; code submission; midterm exam; final presentation; class participation.";"AI-driven oceanography; real-world applications; hands-on projects; data providers; learners' experiences; oceanographic research; live demonstrations; AI tools and techniques; group exercises; oceanographic workflows; theoretical background; conceptual frameworks; critical thinking; knowledge sharing; team-based learning";Yes;Yes
22;AI in Oncology ;ABC;20-03-2025;1.0.0;Oncology    ;Medical & Health Sciences;"cancer prevention; diagnosis; treatment; personalized treatment planning; AI-driven analysis; improved patient outcomes; medical sub-specialties.";"Medical image analysis; tumor delineation; treatment response prediction; drug target identification; survival rate prediction; radiomic biomarkers.";"EHR; radiology images; genomic sequencing; clinical notes; multimodal integration; patient-specific modeling; tumor detection; personalized medicine; information extraction; AI technique selection.";"AI bias in healthcare; data privacy; AI transparency; clinical over-reliance; AI liability; regulatory compliance; healthcare automation; access to care; AI validation; workflow integration; personalized AI.";"Oncology AI education; cancer research webinars; AI-driven prognosis; cancer imaging archives; medical image analysis; healthcare AI nanodegree; cancer genome atlas; deep learning in medicine; AI medical courses.";"Oncology; AI-driven diagnostics; treatment strategies; clinical decisions; research applications; interdisciplinary collaboration; medical graduates; biological sciences.";"Oncology research; AI techniques; Peer-reviewed publications; Clinical practice; Machine learning; Deep learning; Natural language processing; Technical communication; Graduate student mentoring.";"budget-constrained AI education; teaching assistant support; semester-long duration; de-identified cancer datasets; cloud computing resources; Python-TensorFlow-PyTorch; interdisciplinary collaboration.";"AI principles; oncology applications; AI tool evaluation; medical data interpretation; AI technique application; ethical implications; AI expert collaboration; cancer strategy enhancement.";"AI-oncology assignments; case study analysis; research evaluation; AI project design; tumor segmentation; treatment prediction; quizzes; midterm exam; comprehensive AI project; class participation.";"Oncology challenges; AI-driven solutions; patient data analysis; cancer diagnosis; AI integration; collaborative projects; clinical practice; AI-related projects; lectures-labs-discussions; hands-on experience; AI tools.";Yes;Yes
